dataset,f,policy,n_consol,total_wall_s,total_cleared,avg_recall,min_recall,final_recall
synth,0.3,P0-none,0,0.0,0,0.9998,0.9996,0.9997
synth,0.3,P1-fixed@10000,5,1.05,15576,0.9998,0.9996,0.9999
synth,0.3,P1-fixed@3000,15,2.0192,18044,0.9999,0.9996,0.9999
synth,0.3,P2-signal@0.030,0,0.0,0,0.9998,0.9996,0.9997
synth,0.3,P2-signal@0.080,0,0.0,0,0.9998,0.9996,0.9997
synth,0.5,P0-none,0,0.0,0,0.9998,0.9995,0.9995
synth,0.5,P1-fixed@10000,5,1.0531,25872,0.9999,0.9997,0.9998
synth,0.5,P1-fixed@3000,15,3.0169,29913,0.9999,0.9998,0.9998
synth,0.5,P2-signal@0.030,0,0.0,0,0.9998,0.9995,0.9995
synth,0.5,P2-signal@0.080,0,0.0,0,0.9998,0.9995,0.9995
