dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P0-none,28000,20070,0.9955,0.9883,0
sift,0.5,P0-none,36000,19984,0.992,0.9853,0
sift,0.5,P0-none,44000,19984,0.9855,0.9847,0
sift,0.5,P0-none,52000,20048,0.988,0.9804,0
sift,0.5,P0-none,60000,20218,0.9835,0.9769,0
sift,0.5,P0-none,68000,20238,0.9825,0.9747,0
sift,0.5,P0-none,76000,20234,0.983,0.9703,0
sift,0.5,P0-none,84000,20160,0.9785,0.9678,0
sift,0.5,P0-none,92000,20282,0.976,0.9656,0
sift,0.5,P0-none,100000,20354,0.9705,0.9624,0
sift,0.5,P0-none,108000,20258,0.9685,0.9619,0
sift,0.5,P0-none,116000,20230,0.9675,0.9598,0
sift,0.5,P0-none,124000,20302,0.9655,0.9563,0
sift,0.5,P0-none,132000,20390,0.962,0.9534,0
sift,0.5,P0-none,140000,20502,0.959,0.9471,0
sift,0.5,P0-none,148000,20388,0.9525,0.9456,0
sift,0.5,P0-none,156000,20306,0.9465,0.9396,0
sift,0.5,P0-none,164000,20318,0.9415,0.9363,0
sift,0.5,P0-none,172000,20268,0.939,0.93,0
sift,0.5,P0-none,180000,20124,0.927,0.9309,0
sift,0.5,P0-none,188000,20110,0.93,0.9297,0
sift,0.5,P0-none,196000,20104,0.928,0.935,0
sift,0.5,P0-none,204000,20202,0.9285,0.9309,0
sift,0.5,P0-none,212000,20296,0.915,0.9268,0
sift,0.5,P0-none,220000,20260,0.919,0.9252,0
sift,0.5,P1-fixed@50000,28000,20070,0.9955,0.9883,0
sift,0.5,P1-fixed@50000,36000,19984,0.992,0.9853,0
sift,0.5,P1-fixed@50000,44000,19984,0.9855,0.9847,0
sift,0.5,P1-fixed@50000,52000,20048,0.988,0.9804,1
sift,0.5,P1-fixed@50000,60000,20218,0.988,0.9837,0
sift,0.5,P1-fixed@50000,68000,20238,0.9885,0.9822,0
sift,0.5,P1-fixed@50000,76000,20234,0.9885,0.9789,0
sift,0.5,P1-fixed@50000,84000,20160,0.9855,0.9811,0
sift,0.5,P1-fixed@50000,92000,20282,0.9805,0.9797,0
sift,0.5,P1-fixed@50000,100000,20354,0.9725,0.9769,0
sift,0.5,P1-fixed@50000,108000,20258,0.9715,0.9742,1
sift,0.5,P1-fixed@50000,116000,20230,0.9875,0.9827,0
sift,0.5,P1-fixed@50000,124000,20302,0.984,0.9801,0
sift,0.5,P1-fixed@50000,132000,20390,0.987,0.978,0
sift,0.5,P1-fixed@50000,140000,20502,0.9805,0.976,0
sift,0.5,P1-fixed@50000,148000,20388,0.9825,0.973,0
sift,0.5,P1-fixed@50000,156000,20306,0.9805,0.9722,0
sift,0.5,P1-fixed@50000,164000,20318,0.977,0.9682,1
sift,0.5,P1-fixed@50000,172000,20268,0.975,0.9809,0
sift,0.5,P1-fixed@50000,180000,20124,0.9795,0.9806,0
sift,0.5,P1-fixed@50000,188000,20110,0.9755,0.9803,0
sift,0.5,P1-fixed@50000,196000,20104,0.975,0.9772,0
sift,0.5,P1-fixed@50000,204000,20202,0.9765,0.9746,0
sift,0.5,P1-fixed@50000,212000,20296,0.9725,0.9739,0
sift,0.5,P1-fixed@50000,220000,20260,0.971,0.97,1
sift,0.5,P1-fixed@20000,28000,20070,0.9955,0.9883,1
sift,0.5,P1-fixed@20000,36000,19984,0.9945,0.987,0
sift,0.5,P1-fixed@20000,44000,19984,0.99,0.9857,0
sift,0.5,P1-fixed@20000,52000,20048,0.987,0.9823,1
sift,0.5,P1-fixed@20000,60000,20218,0.9885,0.986,0
sift,0.5,P1-fixed@20000,68000,20238,0.9835,0.9832,0
sift,0.5,P1-fixed@20000,76000,20234,0.987,0.981,1
sift,0.5,P1-fixed@20000,84000,20160,0.986,0.9864,0
sift,0.5,P1-fixed@20000,92000,20282,0.984,0.985,0
sift,0.5,P1-fixed@20000,100000,20354,0.9765,0.983,1
sift,0.5,P1-fixed@20000,108000,20258,0.988,0.9848,0
sift,0.5,P1-fixed@20000,116000,20230,0.9855,0.9835,0
sift,0.5,P1-fixed@20000,124000,20302,0.985,0.9813,1
sift,0.5,P1-fixed@20000,132000,20390,0.989,0.9862,0
sift,0.5,P1-fixed@20000,140000,20502,0.989,0.9826,0
sift,0.5,P1-fixed@20000,148000,20388,0.9845,0.9795,1
sift,0.5,P1-fixed@20000,156000,20306,0.983,0.9836,0
sift,0.5,P1-fixed@20000,164000,20318,0.985,0.9844,0
sift,0.5,P1-fixed@20000,172000,20268,0.9845,0.9811,1
