dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P0-none,28000,27248,0.994,0.9881,0
sift,0.5,P0-none,36000,24140,0.9925,0.9869,0
sift,0.5,P0-none,44000,24554,0.9885,0.984,0
sift,0.5,P0-none,52000,28248,0.988,0.9802,0
sift,0.5,P0-none,60000,21804,0.9845,0.9769,0
sift,0.5,P0-none,68000,29020,0.985,0.9746,0
sift,0.5,P0-none,76000,26066,0.9835,0.9725,0
sift,0.5,P0-none,84000,26526,0.981,0.9697,0
sift,0.5,P0-none,92000,30388,0.9835,0.972,0
sift,0.5,P0-none,100000,23872,0.9765,0.9654,0
sift,0.5,P0-none,108000,31124,0.978,0.9662,0
sift,0.5,P0-none,116000,28118,0.978,0.9633,0
sift,0.5,P0-none,124000,28510,0.9735,0.9616,0
sift,0.5,P0-none,132000,32280,0.9735,0.9612,0
sift,0.5,P0-none,140000,26026,0.9665,0.955,0
sift,0.5,P0-none,148000,33170,0.97,0.9566,0
sift,0.5,P0-none,156000,30104,0.9605,0.9504,0
sift,0.5,P0-none,164000,30522,0.9595,0.948,0
sift,0.5,P0-none,172000,34398,0.96,0.9522,0
sift,0.5,P0-none,180000,27974,0.9535,0.9444,0
sift,0.5,P0-none,188000,35242,0.9535,0.9478,0
sift,0.5,P0-none,196000,32142,0.953,0.9439,0
sift,0.5,P0-none,204000,32512,0.9505,0.9437,0
sift,0.5,P0-none,212000,36334,0.949,0.9478,0
sift,0.5,P0-none,220000,29958,0.9425,0.9354,0
sift,0.5,P1-fixed@50000,28000,27248,0.994,0.9881,0
sift,0.5,P1-fixed@50000,36000,24140,0.9925,0.9869,0
sift,0.5,P1-fixed@50000,44000,24554,0.9885,0.984,0
sift,0.5,P1-fixed@50000,52000,28248,0.988,0.9802,1
sift,0.5,P1-fixed@50000,60000,21804,0.9835,0.9759,0
sift,0.5,P1-fixed@50000,68000,29020,0.9865,0.9796,0
sift,0.5,P1-fixed@50000,76000,26066,0.983,0.9801,0
sift,0.5,P1-fixed@50000,84000,26526,0.9815,0.9764,0
sift,0.5,P1-fixed@50000,92000,30388,0.985,0.9769,0
sift,0.5,P1-fixed@50000,100000,23872,0.982,0.9719,0
sift,0.5,P1-fixed@50000,108000,31124,0.982,0.9717,1
sift,0.5,P1-fixed@50000,116000,28118,0.9785,0.9756,0
sift,0.5,P1-fixed@50000,124000,28510,0.984,0.9752,0
sift,0.5,P1-fixed@50000,132000,32280,0.982,0.9771,0
sift,0.5,P1-fixed@50000,140000,26026,0.976,0.9739,0
sift,0.5,P1-fixed@50000,148000,33170,0.979,0.974,0
sift,0.5,P1-fixed@50000,156000,30104,0.98,0.9714,0
sift,0.5,P1-fixed@50000,164000,30522,0.9765,0.9678,1
sift,0.5,P1-fixed@50000,172000,34398,0.9775,0.9776,0
sift,0.5,P1-fixed@50000,180000,27974,0.974,0.9751,0
sift,0.5,P1-fixed@50000,188000,35242,0.976,0.974,0
sift,0.5,P1-fixed@50000,196000,32142,0.9765,0.9748,0
sift,0.5,P1-fixed@50000,204000,32512,0.9785,0.9731,0
sift,0.5,P1-fixed@50000,212000,36334,0.977,0.972,0
