dataset,f,policy,op,live,probe,recall,consolidated
synth,0.3,P0-none,19000,16560,0.999,1.0,0
synth,0.3,P0-none,23000,18188,0.999,0.9999,0
synth,0.3,P0-none,27000,19838,0.999,1.0,0
synth,0.3,P0-none,31000,21468,0.9995,0.9999,0
synth,0.3,P0-none,35000,23002,0.9945,0.9998,0
synth,0.3,P0-none,39000,24578,0.9945,0.9996,0
synth,0.3,P0-none,43000,26266,0.9945,0.9998,0
synth,0.3,P0-none,47000,27814,0.999,0.9996,0
synth,0.3,P0-none,51000,29386,0.999,0.9997,0
synth,0.3,P0-none,55000,30962,0.999,0.9999,0
synth,0.3,P0-none,59000,32608,0.9985,0.9997,0
synth,0.3,P0-none,63000,34212,0.9985,0.9997,0
synth,0.3,P0-none,67000,35848,0.999,0.9996,0
synth,0.3,P0-none,71000,37422,0.999,0.9996,0
synth,0.3,P0-none,75000,38912,0.9995,0.9997,0
synth,0.3,P1-fixed@10000,19000,16560,0.999,1.0,1
synth,0.3,P1-fixed@10000,23000,18188,0.999,0.9999,0
synth,0.3,P1-fixed@10000,27000,19838,0.999,1.0,0
synth,0.3,P1-fixed@10000,31000,21468,0.9995,0.9999,1
synth,0.3,P1-fixed@10000,35000,23002,0.9995,0.9998,0
synth,0.3,P1-fixed@10000,39000,24578,0.9995,0.9998,0
synth,0.3,P1-fixed@10000,43000,26266,0.9995,0.9999,1
synth,0.3,P1-fixed@10000,47000,27814,0.9995,0.9998,0
synth,0.3,P1-fixed@10000,51000,29386,0.9995,0.9997,0
synth,0.3,P1-fixed@10000,55000,30962,0.9995,0.9999,1
synth,0.3,P1-fixed@10000,59000,32608,0.999,0.9997,0
synth,0.3,P1-fixed@10000,63000,34212,0.9995,0.9997,0
synth,0.3,P1-fixed@10000,67000,35848,0.9995,0.9996,1
synth,0.3,P1-fixed@10000,71000,37422,0.999,0.9997,0
synth,0.3,P1-fixed@10000,75000,38912,0.9995,0.9999,0
synth,0.3,P1-fixed@3000,19000,16560,0.999,1.0,1
synth,0.3,P1-fixed@3000,23000,18188,0.999,0.9999,1
synth,0.3,P1-fixed@3000,27000,19838,0.999,1.0,1
synth,0.3,P1-fixed@3000,31000,21468,0.9995,1.0,1
synth,0.3,P1-fixed@3000,35000,23002,0.9995,0.9998,1
synth,0.3,P1-fixed@3000,39000,24578,0.9995,0.9998,1
synth,0.3,P1-fixed@3000,43000,26266,0.9995,1.0,1
synth,0.3,P1-fixed@3000,47000,27814,0.9995,0.9998,1
synth,0.3,P1-fixed@3000,51000,29386,0.9995,0.9998,1
synth,0.3,P1-fixed@3000,55000,30962,0.9995,1.0,1
synth,0.3,P1-fixed@3000,59000,32608,0.999,0.9996,1
synth,0.3,P1-fixed@3000,63000,34212,0.9995,0.9997,1
synth,0.3,P1-fixed@3000,67000,35848,0.9995,0.9997,1
synth,0.3,P1-fixed@3000,71000,37422,0.999,0.9998,1
synth,0.3,P1-fixed@3000,75000,38912,0.9995,0.9999,1
synth,0.3,P2-signal@0.030,19000,16560,0.999,1.0,0
synth,0.3,P2-signal@0.030,23000,18188,0.999,0.9999,0
synth,0.3,P2-signal@0.030,27000,19838,0.999,1.0,0
synth,0.3,P2-signal@0.030,31000,21468,0.9995,0.9999,0
synth,0.3,P2-signal@0.030,35000,23002,0.9945,0.9998,0
synth,0.3,P2-signal@0.030,39000,24578,0.9945,0.9996,0
synth,0.3,P2-signal@0.030,43000,26266,0.9945,0.9998,0
synth,0.3,P2-signal@0.030,47000,27814,0.999,0.9996,0
synth,0.3,P2-signal@0.030,51000,29386,0.999,0.9997,0
synth,0.3,P2-signal@0.030,55000,30962,0.999,0.9999,0
synth,0.3,P2-signal@0.030,59000,32608,0.9985,0.9997,0
synth,0.3,P2-signal@0.030,63000,34212,0.9985,0.9997,0
synth,0.3,P2-signal@0.030,67000,35848,0.999,0.9996,0
synth,0.3,P2-signal@0.030,71000,37422,0.999,0.9996,0
synth,0.3,P2-signal@0.030,75000,38912,0.9995,0.9997,0
synth,0.3,P2-signal@0.080,19000,16560,0.999,1.0,0
synth,0.3,P2-signal@0.080,23000,18188,0.999,0.9999,0
synth,0.3,P2-signal@0.080,27000,19838,0.999,1.0,0
synth,0.3,P2-signal@0.080,31000,21468,0.9995,0.9999,0
synth,0.3,P2-signal@0.080,35000,23002,0.9945,0.9998,0
synth,0.3,P2-signal@0.080,39000,24578,0.9945,0.9996,0
synth,0.3,P2-signal@0.080,43000,26266,0.9945,0.9998,0
synth,0.3,P2-signal@0.080,47000,27814,0.999,0.9996,0
synth,0.3,P2-signal@0.080,51000,29386,0.999,0.9997,0
synth,0.3,P2-signal@0.080,55000,30962,0.999,0.9999,0
synth,0.3,P2-signal@0.080,59000,32608,0.9985,0.9997,0
synth,0.3,P2-signal@0.080,63000,34212,0.9985,0.9997,0
synth,0.3,P2-signal@0.080,67000,35848,0.999,0.9996,0
synth,0.3,P2-signal@0.080,71000,37422,0.999,0.9996,0
synth,0.3,P2-signal@0.080,75000,38912,0.9995,0.9997,0
synth,0.5,P0-none,19000,14940,0.999,0.9998,0
synth,0.5,P0-none,23000,14962,0.9985,0.9999,0
synth,0.5,P0-none,27000,14998,0.999,0.9998,0
synth,0.5,P0-none,31000,15042,0.999,0.9999,0
synth,0.5,P0-none,35000,15106,0.999,0.9998,0
